API WELL NUMBER,Nearest_SWIW_km
34005210680000,"85    247.066061
Name: geometry, dtype: float64"
34005210720000,"85    246.499415
Name: geometry, dtype: float64"
34005203270000,"85    248.656245
Name: geometry, dtype: float64"
34005203390000,"85    241.450796
Name: geometry, dtype: float64"
34005203440000,"85    222.018027
Name: geometry, dtype: float64"
34005203460000,"85    222.353739
Name: geometry, dtype: float64"
34005203710000,"85    224.922403
Name: geometry, dtype: float64"
34005203820000,"85    249.213617
Name: geometry, dtype: float64"
34005204030000,"85    246.617688
Name: geometry, dtype: float64"
34005204150000,"85    249.05999
Name: geometry, dtype: float64"
34005204160000,"85    248.685367
Name: geometry, dtype: float64"
34005204170000,"85    248.67462
Name: geometry, dtype: float64"
34005204180000,"85    248.758544
Name: geometry, dtype: float64"
34005204190000,"85    248.6599
Name: geometry, dtype: float64"
34005204250000,"85    248.381162
Name: geometry, dtype: float64"
34005204260000,"85    248.381162
Name: geometry, dtype: float64"
34005201500000,"85    226.346953
Name: geometry, dtype: float64"
34005201520000,"85    227.819086
Name: geometry, dtype: float64"
34005202020000,"85    225.155229
Name: geometry, dtype: float64"
34005203700000,"85    225.029791
Name: geometry, dtype: float64"
34005203720000,"85    229.214982
Name: geometry, dtype: float64"
34005203730000,"85    225.210264
Name: geometry, dtype: float64"
34005203750000,"85    227.258012
Name: geometry, dtype: float64"
34005203780000,"85    227.769716
Name: geometry, dtype: float64"
34005203810000,"85    226.889834
Name: geometry, dtype: float64"
34005203830000,"85    225.520959
Name: geometry, dtype: float64"
34005203880000,"85    228.283365
Name: geometry, dtype: float64"
34005203910000,"85    228.947416
Name: geometry, dtype: float64"
34005203920000,"85    227.198509
Name: geometry, dtype: float64"
34005203930000,"85    228.405723
Name: geometry, dtype: float64"
34005203940000,"85    225.93834
Name: geometry, dtype: float64"
34005203960000,"85    225.60271
Name: geometry, dtype: float64"
34005204060000,"85    228.10242
Name: geometry, dtype: float64"
34005204070000,"85    229.404164
Name: geometry, dtype: float64"
34005205170000,"85    227.001663
Name: geometry, dtype: float64"
34005205180000,"85    228.829668
Name: geometry, dtype: float64"
34005205190000,"85    226.067228
Name: geometry, dtype: float64"
34005205200000,"85    225.981527
Name: geometry, dtype: float64"
34005205220000,"85    227.524523
Name: geometry, dtype: float64"
34005205230000,"85    225.570068
Name: geometry, dtype: float64"
34005205240000,"85    226.424684
Name: geometry, dtype: float64"
34005205310000,"85    230.416573
Name: geometry, dtype: float64"
34005205320000,"85    229.354718
Name: geometry, dtype: float64"
34005205820000,"85    238.535287
Name: geometry, dtype: float64"
34005206250000,"85    228.781882
Name: geometry, dtype: float64"
34005206500000,"85    231.027923
Name: geometry, dtype: float64"
34005206760000,"85    221.889729
Name: geometry, dtype: float64"
34005206770000,"85    224.377208
Name: geometry, dtype: float64"
34005219270000,"85    247.106575
Name: geometry, dtype: float64"
34005219280000,"85    247.766236
Name: geometry, dtype: float64"
34005219340000,"85    241.710237
Name: geometry, dtype: float64"
34005219390000,"85    247.349224
Name: geometry, dtype: float64"
34005219520000,"85    249.103178
Name: geometry, dtype: float64"
34005219530000,"85    247.761375
Name: geometry, dtype: float64"
34005219650000,"85    247.685042
Name: geometry, dtype: float64"
34005219740000,"85    244.038807
Name: geometry, dtype: float64"
34005219780000,"85    241.875861
Name: geometry, dtype: float64"
34005219810000,"85    248.723643
Name: geometry, dtype: float64"
34005219890000,"85    249.11353
Name: geometry, dtype: float64"
34005219940000,"85    247.488667
Name: geometry, dtype: float64"
34005219950000,"85    246.25306
Name: geometry, dtype: float64"
34005220060000,"85    246.245969
Name: geometry, dtype: float64"
34005220210000,"85    245.452284
Name: geometry, dtype: float64"
34005220230000,"85    249.000013
Name: geometry, dtype: float64"
34005220250000,"85    245.529454
Name: geometry, dtype: float64"
34005220260000,"85    247.189016
Name: geometry, dtype: float64"
34005220300000,"85    246.321167
Name: geometry, dtype: float64"
34005220320000,"85    249.18005
Name: geometry, dtype: float64"
34005220460000,"85    247.804351
Name: geometry, dtype: float64"
34005220530000,"85    248.043932
Name: geometry, dtype: float64"
34005220540000,"85    249.150858
Name: geometry, dtype: float64"
34005220570000,"85    248.139341
Name: geometry, dtype: float64"
34005200190000,"85    248.503184
Name: geometry, dtype: float64"
34005200230000,"85    241.434647
Name: geometry, dtype: float64"
34005200540000,"85    243.248924
Name: geometry, dtype: float64"
34005201460000,"85    242.081852
Name: geometry, dtype: float64"
34005201710000,"85    243.164082
Name: geometry, dtype: float64"
34005202380000,"85    243.457624
Name: geometry, dtype: float64"
34005202390000,"85    242.695795
Name: geometry, dtype: float64"
34005202480000,"85    249.129828
Name: geometry, dtype: float64"
34005202630000,"85    247.524116
Name: geometry, dtype: float64"
34005202790000,"85    249.24153
Name: geometry, dtype: float64"
34005202910000,"85    248.621358
Name: geometry, dtype: float64"
34005204270000,"85    248.381162
Name: geometry, dtype: float64"
34005204300000,"85    248.186852
Name: geometry, dtype: float64"
34005204310000,"85    246.849289
Name: geometry, dtype: float64"
34005204320000,"85    246.661066
Name: geometry, dtype: float64"
34005204450000,"85    242.919404
Name: geometry, dtype: float64"
34005204460000,"85    243.79982
Name: geometry, dtype: float64"
34005204840000,"85    248.739556
Name: geometry, dtype: float64"
34005205040000,"85    248.24371
Name: geometry, dtype: float64"
34005205050000,"85    244.949971
Name: geometry, dtype: float64"
34005205060000,"85    246.838051
Name: geometry, dtype: float64"
34005205210000,"85    223.06581
Name: geometry, dtype: float64"
34005205430000,"85    246.867244
Name: geometry, dtype: float64"
34005205440000,"85    223.892093
Name: geometry, dtype: float64"
34005205470000,"85    248.679205
Name: geometry, dtype: float64"
34005205570000,"85    248.939724
Name: geometry, dtype: float64"
34005205870000,"85    248.616102
Name: geometry, dtype: float64"
34005205880000,"85    244.703577
Name: geometry, dtype: float64"
34005205960000,"85    224.496229
Name: geometry, dtype: float64"
34005206060000,"85    241.033438
Name: geometry, dtype: float64"
34005206080000,"85    249.780257
Name: geometry, dtype: float64"
34005206090000,"85    244.6796
Name: geometry, dtype: float64"
34005206120000,"85    243.950705
Name: geometry, dtype: float64"
34005206370000,"85    223.637092
Name: geometry, dtype: float64"
34005206380000,"85    223.922707
Name: geometry, dtype: float64"
34005206450000,"85    246.113661
Name: geometry, dtype: float64"
34005206540000,"85    247.748132
Name: geometry, dtype: float64"
34005206570000,"85    249.496773
Name: geometry, dtype: float64"
34005206750000,"85    224.359368
Name: geometry, dtype: float64"
34005206930000,"85    248.58915
Name: geometry, dtype: float64"
34005206990000,"85    223.796046
Name: geometry, dtype: float64"
34005207000000,"85    224.240624
Name: geometry, dtype: float64"
34005207010000,"85    224.224769
Name: geometry, dtype: float64"
34005218580000,"85    224.058494
Name: geometry, dtype: float64"
34005218610000,"85    222.027285
Name: geometry, dtype: float64"
34005218630000,"85    246.844388
Name: geometry, dtype: float64"
34005218650000,"85    244.316824
Name: geometry, dtype: float64"
34005218800000,"85    244.277504
Name: geometry, dtype: float64"
34005202920000,"85    249.400394
Name: geometry, dtype: float64"
34005203050000,"85    247.91824
Name: geometry, dtype: float64"
34005203210000,"85    248.115032
Name: geometry, dtype: float64"
34005204110000,"85    246.76381
Name: geometry, dtype: float64"
34005204120000,"85    246.723497
Name: geometry, dtype: float64"
34005204550000,"85    246.096887
Name: geometry, dtype: float64"
34005204560000,"85    245.831528
Name: geometry, dtype: float64"
34005204570000,"85    246.180671
Name: geometry, dtype: float64"
34005204770000,"85    246.680072
Name: geometry, dtype: float64"
