API_WELLNO,WH_LAT,WH_LONG,CONAME,DT_APP_ISSUED,DT_APP_RECVD,APP_TYP,APPNO,EXIST_WELL,LOCATION_ID,RIG_TYP,PROP_WLTYPE,PROP_WELL_CLASS,APP_TYP_Description
34019212830000,40.4421840939233,-81.2575491851345,"PETROX, INC",09/12/2014,09/02/2014,PA,aPATT025628,True,aPATT025628,SERV,OG_R,,Plug and Abandon
34155222970000,41.3920450504375,-80.9076325606379,"PETROX, INC",09/12/2014,09/02/2014,PA,aPATT025629,True,aPATT025629,SERV,OG_R,,Plug and Abandon
34111220010000,39.8313385066275,-80.876442039937,G-R CONTRACTING INC,09/12/2014,09/02/2014,PA,aPATT025630,True,aPATT025630,SERV,OG_R,,Plug and Abandon
34167258590000,39.2948044933446,-81.7330653150354,STONEBRIDGE OPERATING CO LLC,09/22/2014,09/03/2014,DD,aPATT025633,True,aPATT025633,RTA,OG_R,POOL,Drill Deeper
34151228100100,40.9070257032434,-81.2480175100318,ENERVEST OPERATING LLC,09/18/2014,09/03/2014,CXPB,aPATT025634,True,aPATT025634,RTAF,OG_R,POOL,Reissue Revised Location P.B. to directional drill
34059244250000,39.9908920260016,-81.3521785859561,ECLIPSE RESOURCES I LP,09/17/2014,09/03/2014,HX,aPATT025636,False,aPATT025636,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34059244230000,39.9908504330343,-81.3521364441569,ECLIPSE RESOURCES I LP,09/17/2014,09/03/2014,HX,aPATT025637,False,aPATT025637,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34059244240000,39.9908060602058,-81.3520907792562,ECLIPSE RESOURCES I LP,09/17/2014,09/03/2014,HX,aPATT025638,False,aPATT025638,RTAF,OG_R,,"Drill New Well, horizontally"
34059244260000,40.0362387238098,-81.2581279577691,AMERICAN ENERGY UTICA LLC,09/24/2014,09/04/2014,NW,aPATT025643,False,aPATT025643,RTAF,OG_R,STRT,Drill New Well
34059243450000,40.0361943906832,-81.2580894647353,AMERICAN ENERGY UTICA LLC,09/24/2014,09/04/2014,RR,aPATT025644,True,aPATT025644,RTAF,OG_R,STRT,Reissue Revised Location
34059244270000,40.036147274923,-81.2580474500655,AMERICAN ENERGY UTICA LLC,09/24/2014,09/04/2014,NW,aPATT025645,False,aPATT025645,RTAF,OG_R,STRT,Drill New Well
34013208680000,39.9524921616951,-80.8680855417267,XTO ENERGY INC.,09/26/2014,09/04/2014,HX,aPATT025646,False,aPATT025646,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34013208650000,39.9525090271295,-80.8681136850413,XTO ENERGY INC.,09/26/2014,09/04/2014,HX,aPATT025647,False,aPATT025647,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34013208670000,39.952525892557,-80.8681418283695,XTO ENERGY INC.,09/26/2014,09/04/2014,HX,aPATT025648,False,aPATT025648,RTAF,OG_R,EDPW,"Drill New Well, horizontally"
34169238860000,40.8245392112185,-82.0055207533121,DERBY OPERATING CORP,09/19/2014,09/04/2014,PA,aPATT025650,True,aPATT025650,SERV,OG_R,,Plug and Abandon
34083246250000,40.2454096121001,-82.2500859779527,WHEELER MICHAEL D,09/23/2014,09/04/2014,NW,aPATT025651,False,aPATT025651,CT,OG_R,POOL,Drill New Well
34167297500000,39.558149766251,-81.3112837237681,GAS ENTERPRISE COMPANY INC,09/23/2014,09/04/2014,NW,aPATT025652,False,aPATT025652,RTA,OG_R,POOL,Drill New Well
